year,stock,adult_Spawners
1972,HUC,3500
1973,HUC,40000
1974,HUC,6000
1975,HUC,10000
1976,HUC,3500
1977,HUC,4800
1978,HUC,7000
1979,HUC,20000
1980,HUC,20706
1981,HUC,58000
1982,HUC,36700
1983,HUC,30686.86869
1984,HUC,73400
1985,HUC,18500
1986,HUC,3900
1987,HUC,30800
1988,HUC,40300
1989,HUC,40600
1990,HUC,31400
1991,HUC,38100
1992,HUC,27700
1993,HUC,180500
1994,HUC,15834
1995,HUC,4400
1996,HUC,59900
1997,HUC,46200
1998,HUC,91819.1456
1999,HUC,13400
2000,HUC,25100
2001,HUC,19900
2002,HUC,17700
2003,HUC,3300
2004,HUC,2600
2005,HUC,1300
2006,HUC,3600
2007,HUC,12500
2008,HUC,12314
2009,HUC,29362.37624
2010,HUC,29696.9697
2011,HUC,20057.36242
2012,HUC,17133
2013,HUC,12125
2014,HUC,11837
2015,HUC,6400
2016,HUC,10700
2017,HUC,22704
2018,HUC,12203
2019,HUC,13549
2020,HUC,4589
2021,HUC,14520
2022,HUC,18646
2023,HUC,13113
2024,HUC,3534.019143
