year,group,run,catch,Observed ER,Target ER
2001,Somass,1012081.783,231736.9205,0.228970548,0.6
2002,Somass,1101588.568,596543.7876,0.541530481,0.634848485
2003,Somass,970980.0026,531104.3719,0.546977662,0.587719298
2004,Somass,709506.1661,334425.1661,0.471349203,0.5
2005,Somass,450861.5219,105044.3814,0.232985909,0.324074074
2006,Somass,290239.2151,90203.4854,0.310790137,0.2
2007,Somass,160074,9759,0.060965553,0
2008,Somass,190868.0068,0,0,0
2009,Somass,549593.9206,149521.6329,0.272058382,0.35
2010,Somass,1738559.683,938124.6828,0.539598779,0.7
2011,Somass,1468983.365,583949.3654,0.397519386,0.694334975
2012,Somass,758375.5589,379650.5589,0.500610225,0.522222222
2013,Somass,740739.5154,88281.92896,0.119180801,0.5
2014,Somass,1182962.19,654847.342,0.553565741,0.65
2015,Somass,2062193.64,1304407,0.632533713,0.7
2016,Somass,1096532.01,639017,0.582761829,0.618253968
2017,Somass,529360.2034,94071.52343,0.177707963,0.35
2018,Somass,277964.726,81532.61598,0.293320009,0.2
2019,Somass,232819.4579,54643.43787,0.234703054,0.15
2020,Somass,383090.2462,73669.09622,0.192302198,0.25
2021,Somass,590324,182804,0.309667234,0.397727273
2022,Somass,994962,343958,0.345699635,0.587719298
2023,Somass,684582.6626,320299.6626,0.467875802,0.471153846
2024,Somass,779099.7871,285445.7871,0.366378982,0.522222222
2001,Hucuktlis,21940,2040,0.092980857,NA
2002,Hucuktlis,21612,3912,0.18101055,NA
2003,Hucuktlis,3537,237,0.067005937,NA
2004,Hucuktlis,2610,10,0.003831418,NA
2005,Hucuktlis,1601,301,0.188007495,NA
2006,Hucuktlis,3897,297,0.076212471,NA
2007,Hucuktlis,12781,281,0.02198576,NA
2008,Hucuktlis,13100,0,0,NA
2009,Hucuktlis,37089.49804,7089.498043,0.191145699,NA
2010,Hucuktlis,58911.34022,28911.34022,0.490760185,NA
2011,Hucuktlis,27388,6965,0.254308456,NA
2012,Hucuktlis,23075,5942,0.257508126,0.18125
2013,Hucuktlis,13625,1125,0.082568807,0.15
2014,Hucuktlis,33493,21656,0.646582868,0.25454545
2015,Hucuktlis,11592,5192,0.4478951,0.15
2016,Hucuktlis,33811,23111,0.683534944,0.25454545
2017,Hucuktlis,25921,3217,0.124107866,0.2
2018,Hucuktlis,12829,626,0.048795697,0.15
2019,Hucuktlis,13703,154,0.011238415,0.15
2020,Hucuktlis,5032,443,0.088036566,0.15
2021,Hucuktlis,18879,4359,0.230891467,0.15
2022,Hucuktlis,26377,7731,0.293096258,0.2
2023,Hucuktlis,21309,8196,0.384626214,0.18125
2024,Hucuktlis,8306,4769,0.574163255,0.15
